id,2_gram,num_2_gram,word_ 1,word_ 2,final_word,num_final_word
1,NEWLINE afflicted,1,NEWLINE,afflicted,afflicted,1
2,NEWLINE against,1,NEWLINE,against,against,1
3,NEWLINE and,3,NEWLINE,and,and,7
4,NEWLINE but,1,NEWLINE,but,but,2
5,NEWLINE by,2,NEWLINE,by,by,3
6,NEWLINE exact,1,NEWLINE,exact,exact,1
7,NEWLINE his,1,NEWLINE,his,his,3
8,NEWLINE how,1,NEWLINE,how,how,1
9,NEWLINE ice,1,NEWLINE,ice,ice,1
10,NEWLINE in,1,NEWLINE,in,in,5
11,NEWLINE not,1,NEWLINE,not,not,1
12,NEWLINE on,1,NEWLINE,on,on,1
13,NEWLINE saw,1,NEWLINE,saw,saw,1
14,NEWLINE scrupulously,1,NEWLINE,scrupulously,scrupulously,1
15,NEWLINE she,2,NEWLINE,she,she,5
16,NEWLINE stagger,1,NEWLINE,stagger,stagger,1
17,NEWLINE such,1,NEWLINE,such,such,1
18,NEWLINE that,1,NEWLINE,that,that,2
19,NEWLINE the,1,NEWLINE,the,the,12
20,NEWLINE through,1,NEWLINE,through,through,2
21,NEWLINE turbulent,1,NEWLINE,turbulent,turbulent,1
22,NEWLINE unbearable,1,NEWLINE,unbearable,unbearable,1
23,NEWLINE was,1,NEWLINE,was,was,1
24,NEWLINE white,1,NEWLINE,white,white,1
25,NEWLINE with,1,NEWLINE,with,with,1
26,START but,1,START,but,but,2
27,a barricade,1,a,barricade,barricade,1
28,a ceremonial,1,a,ceremonial,ceremonial,1
29,a row,1,a,row,row,1
30,a snowflake,1,a,snowflake,snowflake,1
31,a vulgar,1,a,vulgar,vulgar,1
32,afflicted by,1,afflicted,by,by,3
33,against the,1,against,the,the,12
34,air ENDLINE,1,air,ENDLINE,ENDLINE,29
35,and barbed,1,and,barbed,barbed,1
36,and black,1,and,black,black,1
37,and flowers,1,and,flowers,flowers,1
38,and rock,1,and,rock,rock,1
39,and round,1,and,round,round,1
40,and the,1,and,the,the,12
41,and through,1,and,through,through,2
42,april ENDLINE,1,april,ENDLINE,ENDLINE,29
43,austere in,1,austere,in,in,5
44,barbed wire,1,barbed,wire,wire,1
45,barricade of,1,barricade,of,of,6
46,betrayal that,1,betrayal,that,that,2
47,birds ENDLINE,1,birds,ENDLINE,ENDLINE,29
48,black ENDLINE,1,black,ENDLINE,ENDLINE,29
49,break it,1,break,it,it,1
50,budding ENDLINE,1,budding,ENDLINE,ENDLINE,29
51,but herea,1,but,herea,herea,1
52,but this,1,but,this,this,2
53,by swearing,1,by,swearing,swearing,1
54,by the,1,by,the,the,12
55,by this,1,by,this,this,2
56,cast his,1,cast,his,his,3
57,ceremonial walk,1,ceremonial,walk,walk,1
58,circumscribed ENDLINE,1,circumscribed,ENDLINE,ENDLINE,29
59,cold discipline,1,cold,discipline,discipline,1
60,could hope,1,could,hope,hope,1
61,disarray ENDLINE,1,disarray,ENDLINE,ENDLINE,29
62,discipline of,1,discipline,of,of,6
63,disorder of,1,disorder,of,of,6
64,enough to,1,enough,to,to,2
65,even out,1,even,out,out,1
66,every feeling,1,every,feeling,feeling,1
67,exact like,1,exact,like,like,1
68,feeling well,1,feeling,well,well,1
69,ferns and,1,ferns,and,and,7
70,fist threat,1,fist,threat,threat,1
71,five royal,1,five,royal,royal,1
72,flowers ENDLINE,1,flowers,ENDLINE,ENDLINE,29
73,for winter,1,for,winter,winter,1
74,gait wandering,1,gait,wandering,wandering,1
75,gestures unbalance,1,gestures,unbalance,unbalance,1
